해시태그,총 게시물 수(M)
love,2100
instagood,1700
instagram,1100
fashion,1100
photooftheday,1000
art,1000
photography,1000
beautiful,829
nature,791
picoftheday,723
travel,708
happy,702
follow,699
cute,668
style,646
instadaily,645
tbt,584
repost,559
summer,555
beauty,532
followme,528.5
fitness,525
like4like,515
food,512
instalike,508
explore,507
photo,494
me,455
viral,451
music,446
life,441
friends,440
family,437
fun,435
girl,427
selfie,422.6
makeup,398
likeforlikes,390
dog,369
smile,364.5
explorepage,364
model,362
design,358
motivation,358
handmade,349
lifestyle,347
likeforlike,328
sunset,326
artist,320
dogsofinstagram,310
ootd,308.2
foodporn,302
beach,297
followforfollowback,296
drawing,288
amazing,287
cat,284
instamood,280
igers,276.5
일상,273
nofilter,268.9
sky,261
flowers,261
gym,259
wedding,258
moda,256
photographer,254
follow4follow,249
hair,244
foodie,243
inspiration,241
funny,239
india,238
memes,236
naturephotography,234
baby,233
fyp,222
nails,222
travelphotography,221
l4l,221
workout,219
likeforfollow,218
f4f,217.7
illustration,212
followforfollow,212
home,210
instapic,206
vscocam,202.2
bestoftheday,200
yummy,200
vsco,200
landscape,199
artwork,197
amor,194
christmas,194
party,193
fit,193
photoshoot,192
girls,189
tattoo,188
