인기 지역,지역 구분
"Seoul, South Korea  ",서울
"Seoul, Korea  ",서울
South Korea  ,기타
"Busan, South Korea  ",부산
"Daegu, South Korea  ",대구
인천공항 Incheon Airport  ,인천
Gyeongbokgung  ,서울
N서울타워 - N SeoulTower  ,서울
"Incheon, South Korea  ",인천
"Incheon, Korea  ",인천
명동 Myeongdong Street 명동 거리 首尔 ソウル Seoul  ,서울
"Gwangju, South Korea  ",광주
"Busan Gamcheon Culture Village, 부산 감천문화마을  ",부산
Bukchon Hanok Village  ,서울
Nami Island 닭갈비 사랑 메밀국시  ,춘천
Hongdae Seoul South Korea 홍대거리어딘가  ,서울
"Gyeongju, Korea  ",경주
Jeju-do  ,제주
Daegu  ,대구
Itaewon  ,서울
Myeong-dong  ,서울
"Lotte World Tower, Seoul Sky  ",서울
인천SK 행복드림구장  ,인천
Jeonju  ,전주
Suwon  ,수원
동대문디자인플라자 DDP  ,서울
Daejeon  ,대전
DMZ Demilitarized Zone / JSA - South Korea/north Kore  ,기타
Gwangju  ,광주
Cheongju,청주
